fleetid,fleetcode,fleetname,flagid,flagcode,flagname,statuscode
028PA02,PAN-PAN-ETRO,Panama (ETRO fleet),28,PAN,Panama,CP
028PA03,PAN-PAN-GHA,Panama(Ghana),28,PAN,Panama,CP
028PA04,PAN-PAN-SEN,Panama(Senegal),28,PAN,Panama,CP
028PA05,PAN-PAN-SUR,Panama(Suriname),28,PAN,Panama,CP
028PA06,PAN-PAN-CIV,Panama(C.Ivorie),28,PAN,Panama,CP
029VE00,VEN,Venezuela,29,VEN,Venezuela,CP
029VE01,VEN-FOR.FLTS,Venezuela (foreign based),29,VEN,Venezuela,CP
029VE02,VEN.ARTISANAL,Venezuela (Artisanal fleet),29,VEN,Venezuela,CP
029VE03,VEN.INDUSTRIAL,Venezuela (Industrial fleet),29,VEN,Venezuela,CP
030GD00,GRD,Grenada,30,GRD,Grenada,NCO
031MX00,MEX,Mexico,31,MEX,Mexico,CP
034AO00,AGO,Angola,34,AGO,Angola,CP
035RU00,USR,U.S.S.R.,35,USR,U.S.S.R.,CP
037DO00,DOM,Dominican Republic,37,DOM,Dominican Republic,NCO
038IL00,ISR,Israel,38,ISR,Israel,NCO
039LB00,LBN,Lebanon,39,LBN,Lebanon,NCO
040SL00,SLE,Sierra Leone,40,SLE,Sierra Leone,CP
041TT00,TTO,Trinidad and Tobago,41,TTO,Trinidad and Tobago,CP
041TT01,TTO-TTO-TRINID,Trinidad,41,TTO,Trinidad and Tobago,CP
041TT02,TTO-TTO-TOBAG,Tobago,41,TTO,Trinidad and Tobago,CP
042UY00,URY,Uruguay,42,URY,Uruguay,CP
043VI00,VIR,US Virgin Islands,43,VIR,US Virgin Islands,NCO
047BG00,EU.BGR,EU.Bulgaria,47,EU.BGR,EU.Bulgaria,CP
048CY00,EU.CYP,EU.Cyprus,48,EU.CYP,EU.Cyprus,CP
049DE00,DDR,Germany Democratic Rep.,49,DDR,Germany Democratic Rep.,NCO
050CI00,CIV,Cote D'Ivoire,50,CIV,Cote D'Ivoire,CP
050CI01,CIV-ABIDJAN,Cote D'Ivoire (based in Abidjan),50,CIV,Cote D'Ivoire,CP
050CI02,CIV-S.PEDRO,Cote D'Ivoire (based in S. Pedro),50,CIV,Cote D'Ivoire,CP
050CI03,CIV-CIV-KOREA,Cote D'Ivoire (Korea),50,CIV,Cote D'Ivoire,CP
051LR00,LBR,Liberia,51,LBR,Liberia,NCO
052RO00,ROU,Rumania,52,ROU,Rumania,NCO
053SN00,SEN,Senegal,53,SEN,Senegal,CP
053SN01,SEN-SEN-DAKAR,Senegal (based in Dakar),53,SEN,Senegal,CP
053SN02,SEN-SEN-Art,Senegal (artisanal),53,SEN,Senegal,CP
058PR00,PRI,Puerto Rico,58,PRI,Puerto Rico,NCO
060EG00,EGY,Egypt,60,EGY,Egypt,CP
